# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1773601566998000000,1773601587505000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773601566998000000,1773601587505000000,6
NonBlockingReadAction.finalizedExecutionTimeUs,1773601566998000000,1773601587505000000,13577
AWTEventQueue.dispatchTimeTotalNS,1773601566998000000,1773601587505000000,1352579250
Indexing.cache.totalCacheAccesses,1773601566998000000,1773601587505000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1773601566998000000,1773601587505000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1773601566998000000,1773601587505000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1773601566998000000,1773601587505000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1773601566998000000,1773601587505000000,0
Indexing.writesQueuedMin,1773601566998000000,1773601587505000000,0
Indexing.cache.totalCacheMisses,1773601566998000000,1773601587505000000,0
Indexing.writesQueuedAvg,1773601566998000000,1773601587505000000,0.0
Indexing.cache.totalCacheEvicted,1773601566998000000,1773601587505000000,0
Indexing.totalTimeIndexersSleptMs,1773601566998000000,1773601587505000000,0
Indexing.writesQueuedMax,1773601566998000000,1773601587505000000,0
cacheStateStorage.set.duration,1773601566998000000,1773601587505000000,10
cacheStateStorage.set.counter,1773601566998000000,1773601587505000000,2
cacheStateStorage.get.duration,1773601566998000000,1773601587505000000,0
cacheStateStorage.get.counter,1773601566998000000,1773601587505000000,4
